date,year_number,year_name,quarter_number,quarter_name,month_number,month_name,week_number,week_name,week_day_number,week_day_name
2022-12-13,2022,FY22,4,Q4,12,December,51,W51,3,Tuesday
2022-12-14,2022,FY22,4,Q4,12,December,51,W51,4,Wednesday
2022-12-15,2022,FY22,4,Q4,12,December,51,W51,5,Thursday
2022-12-16,2022,FY22,4,Q4,12,December,51,W51,6,Friday
2022-12-17,2022,FY22,4,Q4,12,December,51,W51,7,Saturday
2022-12-18,2022,FY22,4,Q4,12,December,52,W52,1,Sunday
2022-12-19,2022,FY22,4,Q4,12,December,52,W52,2,Monday
2022-12-20,2022,FY22,4,Q4,12,December,52,W52,3,Tuesday
2022-12-21,2022,FY22,4,Q4,12,December,52,W52,4,Wednesday
2022-12-22,2022,FY22,4,Q4,12,December,52,W52,5,Thursday
2022-12-23,2022,FY22,4,Q4,12,December,52,W52,6,Friday
2022-12-24,2022,FY22,4,Q4,12,December,52,W52,7,Saturday
2022-12-25,2022,FY22,4,Q4,12,December,53,W53,1,Sunday
2022-12-26,2022,FY22,4,Q4,12,December,53,W53,2,Monday
2022-12-27,2022,FY22,4,Q4,12,December,53,W53,3,Tuesday
2022-12-28,2022,FY22,4,Q4,12,December,53,W53,4,Wednesday
2022-12-29,2022,FY22,4,Q4,12,December,53,W53,5,Thursday
2022-12-30,2022,FY22,4,Q4,12,December,53,W53,6,Friday
2022-12-31,2022,FY22,4,Q4,12,December,53,W53,7,Saturday
2023-01-01,2023,FY23,1,Q1,1,January,1,W1,1,Sunday
